Geneid,HUDEP-2_D0_Nor1,HUDEP-2_D0_Nor2,HUDEP-2_D0_Nor3,HUDEP-2_D8_Nor1,HUDEP-2_D8_Nor2,HUDEP-2_D8_Nor3,KO1.1_D0_Nor1,KO1.1_D0_Nor2,KO1.1_D0_Nor3,KO1.1_D8_Nor1,KO1.1_D8_Nor2,KO1.1_D8_Nor3
ENSG00000223972,0,0,1,1,1,0,0,2,2,0,0,0
ENSG00000227232,162,185,186,204,240,242,247,279,240,244,249,216
ENSG00000278267,8,4,3,4,7,3,6,8,7,6,6,4
ENSG00000243485,0,0,3,0,0,0,0,0,0,0,0,0
ENSG00000284332,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237613,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009,1,2,0,3,0,0,3,9,2,4,4,5
ENSG00000239945,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268903,12,13,14,25,18,27,44,36,48,33,16,22
ENSG00000269981,11,13,16,17,20,8,29,28,40,23,19,7
ENSG00000239906,0,0,1,2,0,2,0,2,1,0,1,0
ENSG00000241860,1,0,0,2,0,0,5,0,1,1,2,0
ENSG00000222623,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000279457,520,621,526,755,805,727,722,709,721,745,661,810
ENSG00000273874,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463,2,2,3,8,6,4,12,12,13,15,22,21
ENSG00000236679,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094,0,4,3,10,4,4,5,6,6,4,0,2
ENSG00000269732,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284733,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250575,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278757,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000230021,3,3,2,5,4,7,6,4,12,4,4,2
ENSG00000235146,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225972,56,85,57,41,26,29,56,37,26,43,21,43
ENSG00000225630,31582,43659,31311,13091,14906,11722,25805,16087,16968,14622,10773,31488
ENSG00000237973,991,1093,928,704,668,626,1044,901,1008,678,503,667
ENSG00000278791,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229344,326,393,349,173,117,118,229,219,176,255,140,273
ENSG00000240409,2,0,0,1,2,1,4,2,1,2,1,4
ENSG00000248527,50912,53966,44195,30959,21259,27434,32297,33188,30558,36915,23321,50059
ENSG00000198744,111,126,114,72,47,46,85,63,71,80,35,93
ENSG00000268663,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284662,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229376,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228327,122,127,142,133,107,117,146,144,133,113,64,115
ENSG00000223181,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237491,10,27,13,3,2,1,13,9,7,8,11,8
ENSG00000230092,8,11,9,9,6,5,6,7,5,15,6,9
ENSG00000177757,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228794,332,319,325,448,485,405,544,496,535,413,418,442
ENSG00000225880,32,27,38,18,34,26,34,31,35,32,32,32
ENSG00000230368,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234711,0,0,0,1,1,0,0,0,0,0,0,0
ENSG00000283040,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000230699,0,0,0,0,0,0,0,1,1,0,0,1
ENSG00000241180,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223764,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000187634,2,1,0,0,0,0,3,1,0,1,0,1
ENSG00000188976,4339,4556,4499,2278,2320,2148,2873,2730,3128,4035,4905,3724
ENSG00000187961,362,392,376,326,354,332,358,361,385,373,395,329
ENSG00000187583,2,2,3,2,1,1,3,2,7,2,2,3
ENSG00000187642,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000272512,9,7,18,26,27,24,6,15,10,6,9,10
ENSG00000188290,48,50,42,101,116,174,66,59,74,108,110,76
ENSG00000187608,81,80,71,39,43,47,82,87,110,99,98,78
ENSG00000231702,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224969,1,0,1,0,0,1,0,0,0,0,1,0
ENSG00000188157,2887,2772,3022,3867,4040,3925,2962,2878,3148,2738,3318,2622
ENSG00000242590,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217801,1,3,1,2,4,1,2,0,1,4,3,5
ENSG00000273443,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237330,0,0,0,0,0,0,0,0,0,0,1,1
ENSG00000131591,783,841,803,724,677,655,603,596,606,664,701,587
ENSG00000223823,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207730,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207607,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198976,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272141,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000205231,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162571,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186891,1,0,0,0,0,0,0,0,0,0,0,0
ENSG00000186827,1,0,0,1,1,2,1,0,2,2,2,0
ENSG00000078808,2372,2403,2294,1818,1953,1785,1957,1859,2095,2358,2862,2349
ENSG00000176022,838,858,807,299,287,264,470,440,495,720,855,640
ENSG00000184163,6,5,5,10,5,14,3,3,6,6,12,5
ENSG00000260179,3,6,1,3,2,2,4,2,3,7,5,3
ENSG00000160087,1717,1735,1666,1102,1223,1054,1448,1305,1325,1578,1898,1597
ENSG00000230415,6,10,8,6,4,12,10,16,8,7,7,10
ENSG00000162572,61,75,87,32,52,32,61,53,65,42,45,41
ENSG00000131584,812,896,882,1227,1239,1230,1009,1010,1152,988,1004,861
