"","Control-Ventricle-3","Control-Ventricle-2","Control-Ventricle-1","MAdV3-Ventricle-3","MAdV3-Ventricle-2","MAdV3-Ventricle-1"
"ENSMUSG00000102693",0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0
"ENSMUSG00000051951",6,3,1,1,1,4
"ENSMUSG00000102851",0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,2,0,0
"ENSMUSG00000104017",0,0,0,0,0,1
"ENSMUSG00000103025",0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0
"ENSMUSG00000103147",0,1,0,0,0,2
"ENSMUSG00000103161",0,0,0,0,0,0
"ENSMUSG00000102331",0,0,0,0,0,0
"ENSMUSG00000102348",0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0
"ENSMUSG00000025900",92,22,34,40,30,26
"ENSMUSG00000102948",0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0
"ENSMUSG00000025902",343,145,309,236,375,222
"ENSMUSG00000104238",3,6,0,2,8,2
"ENSMUSG00000102269",7,3,5,7,9,9
"ENSMUSG00000096126",4,0,0,0,0,0
"ENSMUSG00000103003",0,0,0,0,0,0
"ENSMUSG00000104328",0,0,0,0,3,0
"ENSMUSG00000102735",0,0,0,0,0,0
"ENSMUSG00000098104",4,1,3,0,4,1
"ENSMUSG00000102175",0,1,0,0,0,0
"ENSMUSG00000088000",0,0,0,0,0,0
"ENSMUSG00000103265",1,0,0,0,0,0
"ENSMUSG00000103922",32,14,22,16,32,20
"ENSMUSG00000033845",1534,1013,1621,1032,1772,1144
"ENSMUSG00000102275",8,2,5,4,16,8
"ENSMUSG00000025903",2259,1294,1622,1294,2294,1538
"ENSMUSG00000104217",0,0,0,2,0,0
"ENSMUSG00000033813",1109,562,748,611,1003,722
"ENSMUSG00000062588",2,3,6,4,4,11
"ENSMUSG00000103280",3,1,0,0,0,1
"ENSMUSG00000002459",3,1,2,0,3,2
"ENSMUSG00000091305",0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0
"ENSMUSG00000085623",0,0,0,0,2,0
"ENSMUSG00000091665",0,0,0,0,0,0
"ENSMUSG00000033793",796,416,509,505,851,617
"ENSMUSG00000104352",0,0,0,0,0,0
"ENSMUSG00000104046",0,0,0,0,3,0
"ENSMUSG00000102907",0,0,0,0,0,0
"ENSMUSG00000025905",0,0,0,0,3,0
"ENSMUSG00000103936",0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0
"ENSMUSG00000033774",0,0,0,0,0,0
"ENSMUSG00000103090",0,0,0,0,0,0
"ENSMUSG00000025907",2865,1196,1451,1710,3065,1917
"ENSMUSG00000090031",146,31,50,49,138,90
"ENSMUSG00000087247",0,0,0,0,0,0
"ENSMUSG00000103355",0,0,0,0,0,0
"ENSMUSG00000102706",0,0,0,0,0,0
"ENSMUSG00000103845",0,0,0,0,0,1
"ENSMUSG00000033740",0,0,0,0,0,0
"ENSMUSG00000103329",0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0
"ENSMUSG00000102135",0,0,1,2,2,2
"ENSMUSG00000103282",0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0
"ENSMUSG00000051285",3199,1496,1695,1705,3257,2047
"ENSMUSG00000098201",4,0,0,0,1,0
"ENSMUSG00000103509",71,17,8,23,57,45
"ENSMUSG00000048538",0,2,0,0,1,0
"ENSMUSG00000103709",0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0
"ENSMUSG00000097797",2,0,4,0,4,1
"ENSMUSG00000103498",0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0
"ENSMUSG00000025909",10,1,0,0,0,1
